title,source,lang,url,date,resume,category,credibility
"Foot,Affaire SalaCardiff débouté et condamné à indemniser le FC Nantes—L'émouvant voyage à Nantes de la mère de Sala",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/Cardiff-deboute-dans-l-affaire-emiliano-sala-par-la-justice-francaise-et-condamne-a-verser-480-000-euros-au-fc-nantes/1663723,2026-03-30,,,0
—L'émouvant voyage à Nantes de la mère de Sala,L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/L-ancienne-maison-de-son-fils-fresque-et-balade-autour-d-un-lac-le-voyage-memoriel-de-la-mere-d-emiliano-sala-a-nantes/1663662,2026-03-30,,,0
"Foot,Bleus,Revue de presse«La France intimide» : les médias étrangers emballés par les BleusColombieFrance13",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/-joueurs-exceptionnels-la-france-intimide-la-presse-internationale-emballee-par-les-bleus-apres-leur-tournee-americaine-victorieuse/1663693,2026-03-30,,,0
"Foot,MédiasL'audience des Bleus toujours au ralenti—4,7 M devant Colombie-France sur TF1",L'Équipe,fr,https://www.lequipe.fr/Medias/Actualites/A-moins-de-trois-mois-de-la-coupe-du-monde-l-audience-des-bleus-du-foot-toujours-au-ralenti/1663696,2026-03-30,,,0
"—4,7 M devant Colombie-France sur TF1",L'Équipe,fr,https://www.lequipe.fr/Medias/Actualites/4-7-millions-de-telespectateurs-devant-colombie-france-sur-tf1/1663658,2026-03-30,,,0
"Foot,Qualif. Coupe du monde,BosnieDzeko : «Si l'Italie a peur d'affronter le pays de Galles, c'est qu'il y a un problème»Bosnie-HerzégovineItaliedem. 20h45—Dzeko, le quadra qui fait peur à l'Italie",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/Edin-dzeko-sur-le-niveau-de-l-italie-adversaire-de-la-bosnie-en-finale-des-barrages-pour-le-mondial-2026-s-ils-ont-peur-d-affronter-le-pays-de-galles-c-est-qu-il-y-a-un-probleme/1663718,2026-03-30,,,0
"—Dzeko, le quadra qui fait peur à l'Italie",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/Edin-dzeko-un-fringant-quadragenaire-en-quete-d-une-deuxieme-participation-a-un-mondial-avec-la-bosnie-quand-on-connait-son-hygiene-de-vie-on-n-est-pas-surpris/1663519,2026-03-30,,,0
"Foot,PSGLa vente du Parc clôturée «au plus tard à la fin de l'été» ?",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/Le-maire-de-paris-emmanuel-gregoire-sur-une-possible-vente-du-parc-des-princes-au-psg-nous-souhaitons-cloturer-les-discussions-au-plus-tard-a-la-fin-de-l-ete/1663670,2026-03-30,,,0
"Foot,DisparitionJoël Henry, mort d'un joueur surdoué mais fantasque—Quand il nous racontait ses souvenirs de Ligue 1",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/Joel-henry-mort-d-un-joueur-surdoue-mais-fantasque/1663705,2026-03-30,,,0
—Quand il nous racontait ses souvenirs de Ligue 1,L'Équipe,fr,https://www.lequipe.fr/Football/Article/Quand-joel-henry-nous-racontait-ses-souvenirs-de-ligue-1-en-2020-on-revenait-s-asseoir-au-bar/1663699,2026-03-30,,,0
"L'equipe Explore,DocumentaireDenoueix, l'héritage d'un visionnaire55 minutesma listeL'equipe Explore,DocumentaireArchitecte du jeu à la nantaise, formateur visionnaire puis entraîneur à succès, il a marqué plusieurs générations de joueurs et de techniciens.",L'Équipe,fr,https://www.lequipe.fr/explore/video/l-equipe-explore-documentaire-denoueix-le-jeu-avant-le-je/20227780,2026-03-30,,,0
"Foot,AmicalLa galère des supporters des Bleus à Washington",L'Équipe,fr,https://www.lequipe.fr/Football/Article/Bouchons-files-d-attente-interminables-retards-au-coup-d-envoi-la-galere-des-supporters-pour-entrer-dans-le-stade-de-washington-pour-colombie-france/1663653,2026-03-30,,,0
"Tennis,ATPEt maintenant, Sinner face aux défis de la terre battue",L'Équipe,fr,https://www.lequipe.fr/Tennis/Article/Apres-son-sunshine-double-jannik-sinner-face-aux-defis-de-la-terre-battue-et-de-la-reconquete-du-trone-de-numero-1-mondial/1663654,2026-03-30,,,0
"Foot,Qualif. Coupe du monde,BosnieDzeko, le quadragénaire qui fait peur à l'Italie",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/Edin-dzeko-un-fringant-quadragenaire-en-quete-d-une-deuxieme-participation-a-un-mondial-avec-la-bosnie-quand-on-connait-son-hygiene-de-vie-on-n-est-pas-surpris/1663519,2026-03-30,,,0
"Respire,TendancesL'airbag qui veut révolutionner le cyclisme",L'Équipe,fr,https://www.lequipe.fr/Respire/Pratique-sportive/Actualites/Cet-airbag-qui-veut-revolutionner-la-securite-des-cyclistes/1662449,2026-03-30,,,0
"Rugby,Top 14L'équipe type de la 20e journée",L'Équipe,fr,https://www.lequipe.fr/Rugby/Actualites/L-equipe-type-de-la-20e-journee-du-top-14-avec-quatre-joueurs-du-stade-francais/1663647,2026-03-30,,,0
"direct,Tennis de tableCoupe du monde ITTF : table 1Les 48 meilleurs joueurs et joueuses du monde s’affrontent à Macao pour décrocher le titre mondial.",L'Équipe,fr,https://www.lequipe.fr/tv/videos/live/k6oih7JyuEmhrnqwBZT?s=0,2026-03-30,,,0
UAEFROAnnulé,RMC Sport,fr,https://rmcsport.bfmtv.com/football/matchs-amicaux/live/2025/match-emirats-arabes-unis-iles-feroe-tous-les-matchs_FM-260219366777.html,2026-03-30,,,0
CPV14TABFIN12,RMC Sport,fr,https://rmcsport.bfmtv.com/football/matchs-amicaux/live/2025/match-cap-vert-finlande-tous-les-matchs_FM-260120438260.html,2026-03-30,,,0
SRBKSA18:0031/03,RMC Sport,fr,https://rmcsport.bfmtv.com/football/matchs-amicaux/live/2025/match-serbie-arabie-saoudite-tous-les-matchs_FM-260121819387.html,2026-03-31,,,0
UZBVEN16:00,RMC Sport,fr,https://rmcsport.bfmtv.com/football/matchs-amicaux/live/2025/match-ouzbekistan-venezuela-tous-les-matchs_FM-260213163147.html,2026-03-30,,,0
CYPMDA18:00,RMC Sport,fr,https://rmcsport.bfmtv.com/football/matchs-amicaux/live/2025/match-chypre-moldavie-tous-les-matchs_FM-260112658898.html,2026-03-30,,,0
ESPEGY21:0031/03,RMC Sport,fr,https://rmcsport.bfmtv.com/football/matchs-amicaux/live/2025/match-espagne-egypte-tous-les-matchs_FM-260114300239.html,2026-03-31,,,0
ALLGHA20:45,RMC Sport,fr,https://rmcsport.bfmtv.com/football/matchs-amicaux/live/2025/match-allemagne-ghana-tous-les-matchs_FM-251215286030.html,2026-03-30,,,0
Ligue 1 McDonald'sDécès d’Emiliano Sala: Cardiff débouté et condamné à verser 480.000 euros au FC Nantes,RMC Sport,fr,https://rmcsport.bfmtv.com/football/ligue-1/deces-d-emiliano-sala-cardiff-deboute-et-condamne-a-verser-480-000-euros-au-fc-nantes_AN-202603300575.html,2026-03-30,,,0
After Foot,RMC Sport,fr,https://rmcsport.bfmtv.com/replay-emissions/after-foot/,2026-03-30,,,0
Ligue 1 McDonald's,RMC Sport,fr,https://rmcsport.bfmtv.com/football/ligue-1/,2026-03-30,,,0
Coupe du monde 2026,RMC Sport,fr,https://rmcsport.bfmtv.com/football/coupe-du-monde/,2026-03-30,,,0
RMC Sport Combat,RMC Sport,fr,https://rmcsport.bfmtv.com/sports-de-combat/,2026-03-30,,,0
Ligue des Champions,RMC Sport,fr,https://rmcsport.bfmtv.com/football/ligue-des-champions/,2026-03-30,,,0
Ligue Europa,RMC Sport,fr,https://rmcsport.bfmtv.com/football/europa-league/,2026-03-30,,,0
Ligue Conférence,RMC Sport,fr,https://rmcsport.bfmtv.com/football/europa-conference-league/,2026-03-30,,,0
Premier League,RMC Sport,fr,https://rmcsport.bfmtv.com/football/premier-league/,2026-03-30,,,0
La pire des publicités,Eurosport FR,fr,https://www.eurosport.fr/formule-1/grand-prix-du-japon/2026/grand-prix-du-japon-a-suzuka-la-f1-a-eu-droit-a-la-pire-des-publicites_sto23285679/story.shtml,2026-03-30,,,0
