title,source,lang,url,date,resume,category,credibility,image_url,image_caption,resume
Soutien à Christophe GleizesDétenu en Algérie pour y avoir exercé son métier,L'Équipe,fr,https://www.lequipe.fr/Medias/Actualites/L-edito-de-l-equipe-christophe-gleizes-a-plus-que-jamais-besoin-de-soutien-et-d-un-geste-d-humanite/1617521,2026-03-21,,Autre,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Rene-guenon-1925.jpg/800px-Rene-guenon-1925.jpg,ésotériste et philosophe orientaliste français,"Depuis trop longtemps, Christophe Gleizes est privé de liberté. Pour le simple fait d'avoir exercé sa profession. Et c'est chaque jour plus insupportable de l'imaginer dans sa geôle de Tizi-Ouzou, où, apprenait-on il y a quelques jours, il tente de se réfugier dans l'écriture, en consacrant notammen…"
"DocumentaireDenoueix, le jeu avant le je",L'Équipe,fr,https://www.lequipe.fr/explore/video/l-equipe-explore-documentaire-denoueix-le-jeu-avant-le-je/20227780,2026-03-21,,Autre,5,,,"Architecte du jeu à la nantaise, formateur visionnaire du FC Nantes puis entraîneur à succès en France et en Espagne, Raynald Denoueix a marqué plusieurs générations de joueurs et de techniciens (Didier Deschamps, Xabi Alonso, Pierre Sage...)."
Quiz sportÊtes-vous un vrai fan de sport ?,L'Équipe,fr,https://www.lequipe.fr/jeux/dix-sur-dix,2026-03-21,,Autre,5,https://upload.wikimedia.org/wikipedia/fr/thumb/2/2c/Inspectorgadget1983.gif/800px-Inspectorgadget1983.gif,série de dessin animé,"Plongez dans l’univers du sport de manière ludique et interactive avec notre toute nouvelle plateforme dédiée aux jeux de sports. Chaque jour, relevez de nouveaux défis et testez vos connaissances grâce à notre quiz sportif composé de 10 questions inédites."
"Foot,Ligue 1,27e journéeLa fête à la maisonLensAngers51—La 27e journée—Le classement",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/Lens-fait-le-spectacle-contre-angers-grace-a-ses-tauliers-et-reprend-provisoirement-la-tete-de-la-ligue-1/1661279,2026-03-21,,Football,5,,,"Un Florian Thauvin de gala, auteur de l'ouverture du score (1-0, 13e) avant de délivrer deux galettes pour Odsonne Édouard (2-0, 25e ; 4-0, 48e), un Adrien Thomasson qui a conforté sa place de meilleur passeur de Ligue 1 avec une offrande pour Mamadou Sangaré (3-0, 40e) et un Matthieu Udol, deuxième…"
—La 27e journée,L'Équipe,fr,https://www.lequipe.fr/Football/ligue-1/page-calendrier-resultats,2026-03-21,,Autre,5,https://upload.wikimedia.org/wikipedia/fr/thumb/3/3c/Logo_Ligue_1_Uber_Eats_2022.svg/langfr-330px-Logo_Ligue_1_Uber_Eats_2022.svg.png,85e édition du championnat de France de football masculin,
—Le classement,L'Équipe,fr,https://www.lequipe.fr/Football/ligue-1/page-classement-equipes/general,2026-03-21,,Autre,5,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tournoi_d%27%C3%A9chec.JPG/800px-Tournoi_d%27%C3%A9chec.JPG,classement de participants à un jeu à somme nulle tel les échecs,
"Foot,Ligue 1Pourquoi l'éventuel report de Lens-PSG est un casse-tête—Sage : «De base, on n'est pas d'accord»",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/Le-casse-tete-du-report-de-lens-psg-coince-entre-les-deux-manches-des-quarts-de-finale-de-la-ligue-des-champions/1661209,2026-03-21,,Football,5,,,"À la veille du match à Nice ce samedi (21h05), Luis Enrique a traduit les doutes du club sur l'opportunité de demander le report de Lens-PSG du 11 avril, coincé entre les deux quarts de finale de Ligue des champions face à Liverpool, les 8 et 14 avril. « Je dois encore attendre des nouvelles, a expl…"
"—Sage : «De base, on n'est pas d'accord»",L'Équipe,fr,https://www.lequipe.fr/Football/Actualites/L-entraineur-lensois-pierre-sage-sur-un-eventuel-report-de-lens-psg-nous-de-base-on-n-est-pas-d-accord/1661302,2026-03-21,,Autre,5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Animal_Farm_-_1st_edition.jpg/800px-Animal_Farm_-_1st_edition.jpg,roman de George Orwell,"Lens-PSG, possible match du titre de la Ligue 1, aura-t-il bien lieu à la date initialement prévue, soit le 11 avril ? Pour rappel, le club de la capitale doit affronter Liverpool les 8 et 14 avril en quarts de finale de la Ligue des champions, et pourrait demander, comme pour PSG-Nantes, un report."
"Foot,MonacoPogba, les deux semaines qui peuvent tout changer",L'Équipe,fr,https://www.lequipe.fr/Football/Article/La-treve-internationale-comme-juge-de-paix-paul-pogba-les-deux-semaines-qui-peuvent-tout-changer/1661269,2026-03-21,,Football,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ofrenda_de_la_Liga_y_la_Champions-13-L.Mill%C3%A1n_%2852109790215%29_%28cropped%29.jpg/800px-Ofrenda_de_la_Liga_y_la_Champions-13-L.Mill%C3%A1n_%2852109790215%29_%28cropped%29.jpg,footballeur franco-angolais,"Paul Pogba a retrouvé les terrains, ou plutôt les terrains ont retrouvé Paul Pogba, comme on dirait à propos d'un ranger venu du Texas. Sébastien Pocognoli avait annoncé à la mi-février que le milieu international serait de retour à l'entraînement collectif avant la trêve internationale et le champi…"
"Biathlon,Coupe du monde (H)«Aller chercher ça, c'est indescriptible» : Perrot, le prix de la régularité et de l'exigence",L'Équipe,fr,https://www.lequipe.fr/Biathlon/Actualites/Comme-une-evidence-eric-perrot-regulier-et-exigeant-toute-la-saison-a-remporte-le-gros-globe-assez-dur-de-realiser-que-j-ecris-ma-petite-histoire/1661258,2026-03-21,,Football,5,,,"Dimanche soir, une fois tous les points comptabilisés, Éric Perrot aura une belle marge d'avance sur le toit du monde. Ça veut dire beaucoup, à 24 ans. Ça veut surtout dire que le Français a été évidemment le plus régulier. C'est une banalité de l'écrire quand on parle de classement général, mais c'…"
